"","x"
"1",37140635.03
"2",50739821.26
"3",47462593.53
"4",50868175.03
"5",60108107.59
"6",63731708.12
"7",65247577.35
"8",53430095.38
"9",52048311.3700001
"10",50938840.47
"11",52666333.95
"12",60933203.79
"13",53334077.96
"14",52814996.12
"15",49073623.92
"16",54090926.29
"17",60244718.8
"18",63338999.43
"19",62739803.08
"20",54269112.17
"21",49583464.21
"22",51353651.67
"23",56141685.61
"24",55980478.0399999
"25",49771135.57
"26",52804769.5
"27",47556816.31
"28",52058058.0099999
"29",58248889.31
"30",44575331.65
"31",40740431.07
"32",51122027.5
"33",48369031.95
"34",52157868.23
"35",56104631.42
"36",13326215.49
"37",50363418.24
"38",47910044.68
"39",53060145.64
"40",59166157.8000001
"41",63640438.6000001
"42",64004502.69
"43",54807749.79
"44",51616678.58
"45",50319468.36
"46",54412905.3499999
